Name,Sex,Team,NOC,Year,City,Sport,Event,Medal,Division
William Priddy,M,United States,USA,2012,London,Volleyball,Volleyball Men's Volleyball,No medal,12
William Priddy,M,United States,USA,2016,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Bronze,12
Adriana Pinto,F,Brazil,BRA,2012,London,Basketball,Basketball Women's Basketball,No medal,11
Adriana Pinto,F,Brazil,BRA,2016,Rio de Janeiro,Basketball,Basketball Women's Basketball,No medal,11
Clarissa Santos,F,Brazil,BRA,2012,London,Basketball,Basketball Women's Basketball,No medal,11
Clarissa Santos,F,Brazil,BRA,2016,Rio de Janeiro,Basketball,Basketball Women's Basketball,No medal,11
Damiris Amaral,F,Brazil,BRA,2012,London,Basketball,Basketball Women's Basketball,No medal,11
Damiris Amaral,F,Brazil,BRA,2016,Rio de Janeiro,Basketball,Basketball Women's Basketball,No medal,11
Joice Souza,F,Brazil,BRA,2012,London,Basketball,Basketball Women's Basketball,No medal,11
Joice Souza,F,Brazil,BRA,2016,Rio de Janeiro,Basketball,Basketball Women's Basketball,No medal,11
Ndia Colhado,F,Brazil,BRA,2012,London,Basketball,Basketball Women's Basketball,No medal,11
Ndia Colhado,F,Brazil,BRA,2016,Rio de Janeiro,Basketball,Basketball Women's Basketball,No medal,11
rika Souza,F,Brazil,BRA,2012,London,Basketball,Basketball Women's Basketball,No medal,11
rika Souza,F,Brazil,BRA,2016,Rio de Janeiro,Basketball,Basketball Women's Basketball,No medal,11
Abdul Aminu,M,Nigeria,NGR,2016,Rio de Janeiro,Basketball,Basketball Men's Basketball,No medal,11
Chamberlain Oguchi,M,Nigeria,NGR,2016,Rio de Janeiro,Basketball,Basketball Men's Basketball,No medal,11
Ekene Ibekwe,M,Nigeria,NGR,2016,Rio de Janeiro,Basketball,Basketball Men's Basketball,No medal,11
Ikechukwu Diogu,M,Nigeria,NGR,2016,Rio de Janeiro,Basketball,Basketball Men's Basketball,No medal,11
Bahar Alar,F,Turkey,TUR,2016,Rio de Janeiro,Basketball,Basketball Women's Basketball,No medal,11
Birsel Demirmen,F,Turkey,TUR,2016,Rio de Janeiro,Basketball,Basketball Women's Basketball,No medal,11
Il Alben,F,Turkey,TUR,2016,Rio de Janeiro,Basketball,Basketball Women's Basketball,No medal,11
Nevriye Ylmaz,F,Turkey,TUR,2016,Rio de Janeiro,Basketball,Basketball Women's Basketball,No medal,11
Tue Cantez,F,Turkey,TUR,2016,Rio de Janeiro,Basketball,Basketball Women's Basketball,No medal,11
aziye Ner,F,Turkey,TUR,2016,Rio de Janeiro,Basketball,Basketball Women's Basketball,No medal,11
Alexandra Hagan,F,Australia,AUS,2012,London,Rowing,Rowing Women's Coxed Eights,No medal,9
Alexandra Hagan,F,Australia,AUS,2016,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,No medal,9
Bianca Hammett,F,Australia,AUS,2016,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,No medal,9
Lauren Wilkinson,F,Canada,CAN,2012,London,Rowing,Rowing Women's Coxed Eights,Silver,9
Lauren Wilkinson,F,Canada,CAN,2016,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,No medal,9
Lesley Thompson-willie,F,Canada,CAN,2012,London,Rowing,Rowing Women's Coxed Eights,Silver,9
Lesley Thompson-willie,F,Canada,CAN,2016,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,No medal,9
Natalie Mastracci,F,Canada,CAN,2012,London,Rowing,Rowing Women's Coxed Eights,Silver,9
Natalie Mastracci,F,Canada,CAN,2016,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,No medal,9
Huang Xuechen,F,China,CHN,2012,London,Synchronized Swimming,Synchronized Swimming Women's Team,Silver,9
Huang Xuechen,F,China,CHN,2016,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,Silver,9
Sun Wenyan,F,China,CHN,2012,London,Synchronized Swimming,Synchronized Swimming Women's Team,Silver,9
Sun Wenyan,F,China,CHN,2016,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,Silver,9
Catherine (-solesbury),F,Great Britain,GBR,2012,London,Rowing,Rowing Women's Coxed Eights,No medal,9
Catherine (-solesbury),F,Great Britain,GBR,2016,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,Silver,9
Jessica Eddie,F,Great Britain,GBR,2012,London,Rowing,Rowing Women's Coxed Eights,No medal,9
Jessica Eddie,F,Great Britain,GBR,2016,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,Silver,9
Matthew Langridge,M,Great Britain,GBR,2012,London,Rowing,Rowing Men's Coxed Eights,Bronze,9
Matthew Langridge,M,Great Britain,GBR,2016,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Gold,9
Phelan Hill,M,Great Britain,GBR,2012,London,Rowing,Rowing Men's Coxed Eights,Bronze,9
Phelan Hill,M,Great Britain,GBR,2016,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Gold,9
Thomas Ransley,M,Great Britain,GBR,2012,London,Rowing,Rowing Men's Coxed Eights,Bronze,9
Thomas Ransley,M,Great Britain,GBR,2016,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Gold,9
Andreas Kuffner,M,Germany,GER,2012,London,Rowing,Rowing Men's Coxed Eights,Gold,9
Andreas Kuffner,M,Germany,GER,2016,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Silver,9
Eric Johannesen,M,Germany,GER,2012,London,Rowing,Rowing Men's Coxed Eights,Gold,9
Eric Johannesen,M,Germany,GER,2016,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Silver,9
Martin Sauer,M,Germany,GER,2012,London,Rowing,Rowing Men's Coxed Eights,Gold,9
Martin Sauer,M,Germany,GER,2016,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Silver,9
Maximilian Reinelt,M,Germany,GER,2012,London,Rowing,Rowing Men's Coxed Eights,Gold,9
Maximilian Reinelt,M,Germany,GER,2016,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Silver,9
Richard Schmidt,M,Germany,GER,2012,London,Rowing,Rowing Men's Coxed Eights,Gold,9
Richard Schmidt,M,Germany,GER,2016,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Silver,9
Aika Hakoyama,F,Japan,JPN,2012,London,Synchronized Swimming,Synchronized Swimming Women's Team,No medal,9
Kurumi Yoshida,F,Japan,JPN,2012,London,Synchronized Swimming,Synchronized Swimming Women's Team,No medal,9
Mai Nakamura,F,Japan,JPN,2012,London,Synchronized Swimming,Synchronized Swimming Women's Team,No medal,9
Risako Mitsui,F,Japan,JPN,2012,London,Synchronized Swimming,Synchronized Swimming Women's Team,No medal,9
Yukiko Inui,F,Japan,JPN,2012,London,Synchronized Swimming,Synchronized Swimming Women's Team,No medal,9
Claudia Belderbos,F,Netherlands,NED,2012,London,Rowing,Rowing Women's Coxed Eights,Bronze,9
Claudia Belderbos,F,Netherlands,NED,2016,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,No medal,9
Olivier Siegelaar,M,Netherlands,NED,2012,London,Rowing,Rowing Men's Coxed Eights,No medal,9
Olivier Siegelaar,M,Netherlands,NED,2016,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Bronze,9
Peter Wiersum,M,Netherlands,NED,2012,London,Rowing,Rowing Men's Coxed Eights,No medal,9
Peter Wiersum,M,Netherlands,NED,2016,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Bronze,9
Daniel Trojanowski,M,Poland,POL,2012,London,Rowing,Rowing Men's Coxed Eights,No medal,9
Daniel Trojanowski,M,Poland,POL,2016,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,No medal,9
Krystian Aranowski,M,Poland,POL,2012,London,Rowing,Rowing Men's Coxed Eights,No medal,9
Krystian Aranowski,M,Poland,POL,2016,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,No medal,9
Marcin Brzeziski,M,Poland,POL,2012,London,Rowing,Rowing Men's Coxed Eights,No medal,9
Marcin Brzeziski,M,Poland,POL,2016,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,No medal,9
Micha Szpakowski,M,Poland,POL,2012,London,Rowing,Rowing Men's Coxed Eights,No medal,9
Micha Szpakowski,M,Poland,POL,2016,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,No medal,9
Mikoaj Burda,M,Poland,POL,2012,London,Rowing,Rowing Men's Coxed Eights,No medal,9
Mikoaj Burda,M,Poland,POL,2016,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,No medal,9
Piotr Juszczak,M,Poland,POL,2012,London,Rowing,Rowing Men's Coxed Eights,No medal,9
Piotr Juszczak,M,Poland,POL,2016,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,No medal,9
Zbigniew Schodowski,M,Poland,POL,2012,London,Rowing,Rowing Men's Coxed Eights,No medal,9
Zbigniew Schodowski,M,Poland,POL,2016,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,No medal,9
Adelina Cojocariu-bogus,F,Romania,ROU,2012,London,Rowing,Rowing Women's Coxed Eights,No medal,9
Adelina Cojocariu-bogus,F,Romania,ROU,2016,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,Bronze,9
Roxana Cogianu,F,Romania,ROU,2012,London,Rowing,Rowing Women's Coxed Eights,No medal,9
Roxana Cogianu,F,Romania,ROU,2016,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,Bronze,9
Aleksandra Patskevich,F,Russia,RUS,2012,London,Synchronized Swimming,Synchronized Swimming Women's Team,Gold,9
Aleksandra Patskevich,F,Russia,RUS,2016,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,Gold,9
Alla Shishkina,F,Russia,RUS,2012,London,Synchronized Swimming,Synchronized Swimming Women's Team,Gold,9
Alla Shishkina,F,Russia,RUS,2016,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,Gold,9
Nataliya Ishchenko,F,Russia,RUS,2012,London,Synchronized Swimming,Synchronized Swimming Women's Team,Gold,9
Nataliya Ishchenko,F,Russia,RUS,2016,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,Gold,9
Svetlana Romashina,F,Russia,RUS,2012,London,Synchronized Swimming,Synchronized Swimming Women's Team,Gold,9
Svetlana Romashina,F,Russia,RUS,2016,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,Gold,9
Eleanor Logan,F,United States,USA,2012,London,Rowing,Rowing Women's Coxed Eights,Gold,9
Eleanor Logan,F,United States,USA,2016,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,Gold,9
Meghan Musnicki,F,United States,USA,2012,London,Rowing,Rowing Women's Coxed Eights,Gold,9
Meghan Musnicki,F,United States,USA,2016,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,Gold,9
Stephen Kasprzyk,M,United States,USA,2012,London,Rowing,Rowing Men's Coxed Eights,No medal,9
Stephen Kasprzyk,M,United States,USA,2016,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,No medal,9
Bianca Hammett,F,Australia,AUS,2012,London,Synchronized Swimming,Synchronized Swimming Women's Team,No medal,8
Bronte Barratt,F,Australia,AUS,2012,London,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Silver,8
Aika Hakoyama,F,Japan,JPN,2016,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,Bronze,8
Kurumi Yoshida,F,Japan,JPN,2016,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,Bronze,8
Mai Nakamura,F,Japan,JPN,2016,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,Bronze,8
Risako Mitsui,F,Japan,JPN,2016,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,Bronze,8
Yukiko Inui,F,Japan,JPN,2016,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,Bronze,8
Dana (-grant),F,United States,USA,2012,London,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold,8
Dana (-grant),F,United States,USA,2016,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold,8
James Feigen,M,United States,USA,2012,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver,8
Michael Ii,M,United States,USA,2012,London,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold,8
Michael Ii,M,United States,USA,2012,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver,8
Michael Ii,M,United States,USA,2016,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold,8
Nathan Adrian,M,United States,USA,2012,London,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold,8
Nathan Adrian,M,United States,USA,2012,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver,8
Nathan Adrian,M,United States,USA,2016,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold,8
Brittany Elmslie,F,Australia,AUS,2012,London,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold,7
Brittany Elmslie,F,Australia,AUS,2016,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver,7
Cate Campbell,F,Australia,AUS,2012,London,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold,7
Emily Seebohm,F,Australia,AUS,2016,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver,7
Lu Ying,F,China,CHN,2012,London,Swimming,Swimming Women's 4 x 100 metres Medley Relay,No medal,7
Wang Shijia,F,China,CHN,2012,London,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,No medal,7
Vladimir Morozov,M,Russia,RUS,2016,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Medley Relay,No medal,7
Allison Schmitt,F,United States,USA,2016,Rio de Janeiro,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold,7
Allison Schmitt,F,United States,USA,2016,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver,7
Amanda (-davis),F,United States,USA,2016,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver,7
Conor Dwyer,M,United States,USA,2012,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold,7
Conor Dwyer,M,United States,USA,2016,Rio de Janeiro,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold,7
James Feigen,M,United States,USA,2016,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold,7
Lia Neal,F,United States,USA,2016,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver,7
Melissa Franklin,F,United States,USA,2016,Rio de Janeiro,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold,7
Michael Ii,M,United States,USA,2012,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold,7
Michael Ii,M,United States,USA,2016,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold,7
Michael Ii,M,United States,USA,2016,Rio de Janeiro,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold,7
Nathan Adrian,M,United States,USA,2016,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold,7
Ryan Lochte,M,United States,USA,2012,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold,7
Ryan Lochte,M,United States,USA,2016,Rio de Janeiro,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold,7
Cameron Mcevoy,M,Australia,AUS,2012,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,No medal,6
David Mckeon,M,Australia,AUS,2012,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,No medal,6
James Magnussen,M,Australia,AUS,2012,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,No medal,6
James Roberts,M,Australia,AUS,2012,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,No medal,6
Thomas Fraser-holmes,M,Australia,AUS,2012,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,No medal,6
Brittany Maclean,F,Canada,CAN,2016,Rio de Janeiro,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Bronze,6
Lu Ying,F,China,CHN,2016,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Medley Relay,No medal,6
Charlotte Bonnet,F,France,FRA,2012,London,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Bronze,6
Coralie Balmy,F,France,FRA,2012,London,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Bronze,6
Fabien Gilot,M,France,FRA,2012,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold,6
Fabien Gilot,M,France,FRA,2016,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver,6
Jrmy Stravius,M,France,FRA,2012,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold,6
Jrmy Stravius,M,France,FRA,2016,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver,6
Francesca Halsall,F,Great Britain,GBR,2012,London,Swimming,Swimming Women's 4 x 100 metres Medley Relay,No medal,6
Siobhan-Marie O'connor,F,Great Britain,GBR,2012,London,Swimming,Swimming Women's 4 x 100 metres Medley Relay,No medal,6
Christine Day,F,Jamaica,JAM,2016,Rio de Janeiro,Athletics,Athletics Women's 4 x 400 metres Relay,Silver,6
Kemar Bailey-cole,M,Jamaica,JAM,2016,Rio de Janeiro,Athletics,Athletics Men's 4 x 100 metres Relay,Gold,6
Novlene Williams-mills,F,Jamaica,JAM,2016,Rio de Janeiro,Athletics,Athletics Women's 4 x 400 metres Relay,Silver,6
Shelly-Ann Fraser-pryce,F,Jamaica,JAM,2012,London,Athletics,Athletics Women's 4 x 100 metres Relay,Silver,6
Shelly-Ann Fraser-pryce,F,Jamaica,JAM,2016,Rio de Janeiro,Athletics,Athletics Women's 4 x 100 metres Relay,Silver,6
Usain Bolt,M,Jamaica,JAM,2016,Rio de Janeiro,Athletics,Athletics Men's 4 x 100 metres Relay,Gold,6
Veronica Campbell-brown,F,Jamaica,JAM,2012,London,Athletics,Athletics Women's 4 x 100 metres Relay,Silver,6
Veronica Campbell-brown,F,Jamaica,JAM,2016,Rio de Janeiro,Athletics,Athletics Women's 4 x 100 metres Relay,Silver,6
Yohan Blake,M,Jamaica,JAM,2016,Rio de Janeiro,Athletics,Athletics Men's 4 x 100 metres Relay,Gold,6
Andrey Grechin,M,Russia,RUS,2012,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze,6
Danila Izotov,M,Russia,RUS,2012,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze,6
Vladimir Morozov,M,Russia,RUS,2012,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze,6
Allison Schmitt,F,United States,USA,2012,London,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze,6
Allison Schmitt,F,United States,USA,2012,London,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold,6
Allyson Felix,F,United States,USA,2012,London,Athletics,Athletics Women's 4 x 100 metres Relay,Gold,6
Allyson Felix,F,United States,USA,2012,London,Athletics,Athletics Women's 4 x 400 metres Relay,Gold,6
Allyson Felix,F,United States,USA,2016,Rio de Janeiro,Athletics,Athletics Women's 4 x 400 metres Relay,Gold,6
Amanda (-davis),F,United States,USA,2012,London,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze,6
Francena Mccorory,F,United States,USA,2012,London,Athletics,Athletics Women's 4 x 400 metres Relay,Gold,6
Francena Mccorory,F,United States,USA,2016,Rio de Janeiro,Athletics,Athletics Women's 4 x 400 metres Relay,Gold,6
Justin Gatlin,M,United States,USA,2012,London,Athletics,Athletics Men's 4 x 100 metres Relay,No medal,6
Justin Gatlin,M,United States,USA,2016,Rio de Janeiro,Athletics,Athletics Men's 4 x 100 metres Relay,No medal,6
Lia Neal,F,United States,USA,2012,London,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze,6
Melissa Franklin,F,United States,USA,2012,London,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold,6
Tianna Madison-bartoletta,F,United States,USA,2012,London,Athletics,Athletics Women's 4 x 100 metres Relay,Gold,6
Tony Mcquay,M,United States,USA,2016,Rio de Janeiro,Athletics,Athletics Men's 4 x 400 metres Relay,Gold,6
Tyson Gay,M,United States,USA,2012,London,Athletics,Athletics Men's 4 x 100 metres Relay,No medal,6
Tyson Gay,M,United States,USA,2016,Rio de Janeiro,Athletics,Athletics Men's 4 x 100 metres Relay,No medal,6
Annette Edmondson,F,Australia,AUS,2016,Rio de Janeiro,Cycling,Cycling Women's Team Pursuit,No medal,5
Brittany Elmslie,F,Australia,AUS,2012,London,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver,5
Brittany Elmslie,F,Australia,AUS,2016,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold,5
Bronte Barratt,F,Australia,AUS,2016,Rio de Janeiro,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Silver,5
Cameron Mcevoy,M,Australia,AUS,2016,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze,5
Cate Campbell,F,Australia,AUS,2016,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold,5
David Mckeon,M,Australia,AUS,2016,Rio de Janeiro,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,No medal,5
Emily Seebohm,F,Australia,AUS,2012,London,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver,5
Jack Bobridge,M,Australia,AUS,2016,Rio de Janeiro,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver,5
James Magnussen,M,Australia,AUS,2016,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze,5
James Roberts,M,Australia,AUS,2016,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze,5
Melissa Hoskins,F,Australia,AUS,2016,Rio de Janeiro,Cycling,Cycling Women's Team Pursuit,No medal,5
Michael Hepburn,M,Australia,AUS,2016,Rio de Janeiro,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver,5
Thomas Fraser-holmes,M,Australia,AUS,2016,Rio de Janeiro,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,No medal,5
Christopher Brown,M,Bahamas,BAH,2016,Rio de Janeiro,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze,5
Michael Mathieu,M,Bahamas,BAH,2016,Rio de Janeiro,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze,5
Dieter Dekoninck,M,Belgium,BEL,2016,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,No medal,5
Dieter Dekoninck,M,Belgium,BEL,2016,Rio de Janeiro,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,No medal,5
Emmanuel Vanluchene,M,Belgium,BEL,2016,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,No medal,5
Glenn Surgeloose,M,Belgium,BEL,2016,Rio de Janeiro,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,No medal,5
Jasper Aerents,M,Belgium,BEL,2016,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,No medal,5
Jonathan Borle,M,Belgium,BEL,2012,London,Athletics,Athletics Men's 4 x 400 metres Relay,No medal,5
Kvin Borle,M,Belgium,BEL,2012,London,Athletics,Athletics Men's 4 x 400 metres Relay,No medal,5
Louis Croenen,M,Belgium,BEL,2016,Rio de Janeiro,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,No medal,5
Pieter Timmers,M,Belgium,BEL,2016,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,No medal,5
Pieter Timmers,M,Belgium,BEL,2016,Rio de Janeiro,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,No medal,5
Daniele Hyplito,F,Brazil,BRA,2012,London,Gymnastics,Gymnastics Women's Team All-Around,No medal,5
Daniele Hyplito,F,Brazil,BRA,2016,Rio de Janeiro,Gymnastics,Gymnastics Women's Team All-Around,No medal,5
Felipe Silva,M,Brazil,BRA,2016,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Medley Relay,No medal,5
Marcelo Chierighini,M,Brazil,BRA,2016,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,No medal,5
Marcelo Chierighini,M,Brazil,BRA,2016,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Medley Relay,No medal,5
Nicolas Oliveira,M,Brazil,BRA,2016,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,No medal,5
Brittany Rogers,F,Canada,CAN,2012,London,Gymnastics,Gymnastics Women's Team All-Around,No medal,5
Brittany Rogers,F,Canada,CAN,2016,Rio de Janeiro,Gymnastics,Gymnastics Women's Team All-Around,No medal,5
Elsabeth Black,F,Canada,CAN,2012,London,Gymnastics,Gymnastics Women's Team All-Around,No medal,5
Elsabeth Black,F,Canada,CAN,2016,Rio de Janeiro,Gymnastics,Gymnastics Women's Team All-Around,No medal,5
Jasmin Glaesser,F,Canada,CAN,2016,Rio de Janeiro,Cycling,Cycling Women's Team Pursuit,Bronze,5
Tang Yi,F,China,CHN,2012,London,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,No medal,5
Wang Shijia,F,China,CHN,2016,Rio de Janeiro,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,No medal,5
Zhang Chenglong,M,China,CHN,2012,London,Gymnastics,Gymnastics Men's Team All-Around,Gold,5
Zhang Chenglong,M,China,CHN,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Bronze,5
Williams Gutirrez,M,Cuba,CUB,2012,London,Athletics,Athletics Men's 4 x 400 metres Relay,No medal,5
Casper Folsach,M,Denmark,DEN,2012,London,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",No medal,5
Casper Folsach,M,Denmark,DEN,2016,Rio de Janeiro,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze,5
Lasse Hansen,M,Denmark,DEN,2012,London,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",No medal,5
Lasse Hansen,M,Denmark,DEN,2016,Rio de Janeiro,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze,5
Rasmus Quaade,M,Denmark,DEN,2012,London,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",No medal,5
Rasmus Quaade,M,Denmark,DEN,2016,Rio de Janeiro,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze,5
Cyril Tommasone,M,France,FRA,2012,London,Gymnastics,Gymnastics Men's Team All-Around,No medal,5
Cyril Tommasone,M,France,FRA,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,No medal,5
Grgory Mallet,M,France,FRA,2012,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver,5
Adam Gemili,M,Great Britain,GBR,2016,Rio de Janeiro,Athletics,Athletics Men's 4 x 100 metres Relay,No medal,5
Christine Ohuruogu,F,Great Britain,GBR,2012,London,Athletics,Athletics Women's 4 x 400 metres Relay,No medal,5
Christine Ohuruogu,F,Great Britain,GBR,2016,Rio de Janeiro,Athletics,Athletics Women's 4 x 400 metres Relay,Bronze,5
Eilidh Child-doyle,F,Great Britain,GBR,2012,London,Athletics,Athletics Women's 4 x 400 metres Relay,No medal,5
