Name,Sport,Event,NOC,Year,Medal,Division
Felix Becker,Fencing,"Fencing Men's Sabre, Team",GER,1992,No medal,5
Felix Bwalya,Boxing,Boxing Men's Lightweight,ZAM,1992,No medal,1
Feng Feng,Rowing,Rowing Men's Coxed Eights,CHN,1992,No medal,9
Feng Feng,Rowing,Rowing Men's Coxed Fours,CHN,1992,No medal,5
Feng Lili,Rowing,Rowing Women's Quadruple Sculls,CHN,1992,No medal,4
Ferdinand Amadi,Athletics,Athletics Men's Marathon,CAF,1992,No medal,1
Ferdinand Neverman,Canoeing,"Canoeing Men's Kayak Singles, Slalom",CRC,1992,No medal,1
Ferdinando Gandolfi,Water Polo,Water Polo Men's Water Polo,ITA,1992,Gold,12
Ferdinando Meglio,Fencing,"Fencing Men's Sabre, Individual",ITA,1992,No medal,1
Ferdinando Meglio,Fencing,"Fencing Men's Sabre, Team",ITA,1992,No medal,5
Ferenc Csipes,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",HUN,1992,No medal,2
Ferenc Csipes,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",HUN,1992,Silver,4
Ferenc Csipes,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",HUN,1992,No medal,1
Ferenc Fzesi,Handball,Handball Men's Handball,HUN,1992,No medal,15
Ferenc Hegeds,Fencing,"Fencing Men's epee, Individual",HUN,1992,No medal,1
Ferenc Hegeds,Fencing,"Fencing Men's epee, Team",HUN,1992,Silver,5
Ferenc Lnrt,Weightlifting,Weightlifting Men's Bantamweight,HUN,1992,No medal,1
Ferenc Nagy J.,Sailing,Sailing Mixed Two Person Keelboat,HUN,1992,No medal,1
Fermn Ruiz,Athletics,"Athletics Men's 1,500 metres",ESP,1992,Gold,1
Fernand Gandaho,Cycling,"Cycling Men's Road Race, Individual",BEN,1992,No medal,1
Fernanda Veirano,Synchronized Swimming,Synchronized Swimming Women's Duet,BRA,1992,No medal,2
Fernanda Veirano,Synchronized Swimming,Synchronized Swimming Women's Solo,BRA,1992,No medal,1
Fernanda Venturini,Volleyball,Volleyball Women's Volleyball,BRA,1992,No medal,12
Fernando Alonso,Handball,Handball Men's Handball,ESP,1992,No medal,16
Fernando Antognini,Hockey,Hockey Men's Hockey,ARG,1992,No medal,16
Fernando Ariansen,Shooting,Shooting Mixed Skeet,BOL,1992,No medal,1
Fernando Artaza,Weightlifting,Weightlifting Men's Lightweight,ESP,1992,No medal,1
Fernando Bello,Sailing,Sailing Mixed Two Person Keelboat,POR,1992,No medal,1
Fernando Boissier,Sailing,Sailing Mixed Three Person Keelboat,ESP,1992,No medal,3
Fernando Cagnoni,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",ARG,1992,No medal,2
Fernando Cagnoni,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",ARG,1992,No medal,4
Fernando Couto,Athletics,"Athletics Men's 10,000 metres",POR,1992,No medal,1
Fernando Gmez,Equestrian,"Equestrian Mixed Three-Day Event, Individual",ESP,1992,No medal,4
Fernando Gmez,Equestrian,"Equestrian Mixed Three-Day Event, Team",ESP,1992,No medal,4
Fernando Gonzlez,Shooting,"Shooting Men's Air Pistol, 10 metres",URU,1992,No medal,1
Fernando Huerta,Rowing,Rowing Men's Coxless Fours,ESP,1992,No medal,4
Fernando Larrucea,Sailing,Sailing Mixed Two Person Keelboat,ESP,1992,No medal,1
Fernando Louro,Cycling,Cycling Men's 100 kilometres Team Time Trial,BRA,1992,No medal,4
Fernando Louro,Cycling,Cycling Men's Points Race,BRA,1992,No medal,1
Fernando Lvarez,Diving,Diving Men's Springboard,MEX,1992,No medal,1
Fernando Machado,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",CUB,1992,No medal,2
Fernando Machado,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",CUB,1992,No medal,2
Fernando Olivas,Fencing,"Fencing Men's epee, Individual",ESP,1992,No medal,1
Fernando Olivas,Fencing,"Fencing Men's epee, Team",ESP,1992,No medal,5
Fernando Orrego,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",COL,1992,No medal,4
Fernando Silva,Badminton,Badminton Men's Doubles,POR,1992,No medal,2
Fernando Silva,Badminton,Badminton Men's Singles,POR,1992,No medal,1
Fernando Tripodi,Hockey,Hockey Men's Hockey,ARG,1992,No medal,16
Filip Leak,Judo,Judo Men's Middleweight,SLO,1992,No medal,1
Filipa Cavalleri,Judo,Judo Women's Lightweight,POR,1992,No medal,1
Filippo Caratti,Tennis,Tennis Men's Singles,ITA,1992,No medal,1
Filippo Piva,Swimming,Swimming Men's 50 metres Freestyle,SMR,1992,No medal,1
Filippo Soffici,Rowing,Rowing Men's Quadruple Sculls,ITA,1992,Bronze,4
Filippos Kaiafas,Water Polo,Water Polo Men's Water Polo,GRE,1992,No medal,13
Finn O'connor,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",NZL,1992,No medal,4
Fiona (-bowen),Equestrian,"Equestrian Mixed Three-Day Event, Individual",NED,1992,No medal,2
Fiona (-bowen),Equestrian,"Equestrian Mixed Three-Day Event, Team",NED,1992,No medal,2
Fiona (-iapichino),Athletics,Athletics Women's Long Jump,GBR,1992,No medal,1
Fiona (-watson),Rowing,Rowing Women's Coxed Eights,GBR,1992,No medal,9
Fiona Mcintosh,Fencing,"Fencing Women's Foil, Individual",GBR,1992,No medal,1
Fiona Mcintosh,Fencing,"Fencing Women's Foil, Team",GBR,1992,No medal,5
Fiona Taylor,Sailing,Sailing Women's Windsurfer,AUS,1992,No medal,1
Fiorenzo Giovanni,Rowing,Rowing Men's Quadruple Sculls,FRA,1992,No medal,4
Firmo Buabud,Shooting,Shooting Mixed Skeet,ARG,1992,No medal,1
Fita Bayissa,Athletics,"Athletics Men's 10,000 metres",ETH,1992,No medal,1
Fita Bayissa,Athletics,"Athletics Men's 5,000 metres",ETH,1992,Bronze,1
Flavio Anastasia,Cycling,Cycling Men's 100 kilometres Team Time Trial,ITA,1992,Silver,4
Flavio Cabrera,Weightlifting,Weightlifting Men's Heavyweight II,CUB,1992,No medal,1
Flavio Grassi,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,ITA,1992,No medal,1
Flavio Rota,Gymnastics,Gymnastics Men's Floor Exercise,SUI,1992,No medal,1
Flavio Rota,Gymnastics,Gymnastics Men's Horizontal Bar,SUI,1992,No medal,1
Flavio Rota,Gymnastics,Gymnastics Men's Horse Vault,SUI,1992,No medal,1
Flavio Rota,Gymnastics,Gymnastics Men's Individual All-Around,SUI,1992,No medal,1
Flavio Rota,Gymnastics,Gymnastics Men's Parallel Bars,SUI,1992,No medal,1
Flavio Rota,Gymnastics,Gymnastics Men's Pommelled Horse,SUI,1992,No medal,1
Flavio Rota,Gymnastics,Gymnastics Men's Rings,SUI,1992,No medal,1
Flavio Rota,Gymnastics,Gymnastics Men's Team All-Around,SUI,1992,No medal,6
Fletcher Wamilee,Athletics,Athletics Men's 100 metres,VAN,1992,No medal,1
Flicia (-vetu),Cycling,Cycling Women's Sprint,FRA,1992,No medal,1
Flix Casanova,Volleyball,Volleyball Men's Volleyball,CUB,1992,No medal,12
Flix Fabr,Boxing,Boxing Men's Heavyweight,CUB,1992,Gold,1
Flix Nova,Baseball,Baseball Men's Baseball,DOM,1992,No medal,1
Flix Riduejo,Baseball,Baseball Men's Baseball,ESP,1992,No medal,1
Flix Tejada,Baseball,Baseball Men's Baseball,DOM,1992,No medal,1
Flora Hyacinth,Athletics,Athletics Women's Long Jump,ISV,1992,No medal,1
Florence Lebrun,Sailing,Sailing Women's Two Person Dinghy,FRA,1992,No medal,1
Florencio Mejia,Athletics,Athletics Men's 100 metres,PAN,1992,No medal,1
Florentine Steenberghe,Hockey,Hockey Women's Hockey,NED,1992,No medal,16
Florian Schwarthoff,Athletics,Athletics Men's 110 metres Hurdles,GER,1992,No medal,1
Florin Balaban,Badminton,Badminton Men's Singles,ROU,1992,No medal,1
Florin Ene,Rowing,Rowing Men's Coxless Fours,ROU,1992,No medal,4
Florin Lascau,Judo,Judo Men's Half-Middleweight,GER,1992,No medal,1
Florin Lupeic,Fencing,"Fencing Men's Sabre, Team",ROU,1992,No medal,5
Florintin Tataru,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",ROU,1992,No medal,2
Floris Bovelander,Hockey,Hockey Men's Hockey,NED,1992,No medal,16
Foday Sillah,Athletics,Athletics Men's 400 metres,SLE,1992,No medal,1
Foo Keong,Badminton,Badminton Men's Singles,MAS,1992,No medal,1
Fotis Stefani,Athletics,Athletics Men's Pole Vault,CYP,1992,No medal,1
Foudil Taalba,Volleyball,Volleyball Men's Volleyball,ALG,1992,No medal,10
Foy Chung,Swimming,Swimming Men's 100 metres Breaststroke,FIJ,1992,No medal,1
Foy Chung,Swimming,Swimming Men's 100 metres Freestyle,FIJ,1992,No medal,1
Foy Chung,Swimming,Swimming Men's 200 metres Breaststroke,FIJ,1992,No medal,1
Foy Chung,Swimming,Swimming Men's 50 metres Freestyle,FIJ,1992,No medal,1
France Mabiletsa,Boxing,Boxing Men's Light-Heavyweight,BOT,1992,No medal,1
Francesca Bortolozzi-borella,Fencing,"Fencing Women's Foil, Individual",ITA,1992,No medal,1
Francesca Bortolozzi-borella,Fencing,"Fencing Women's Foil, Team",ITA,1992,Gold,5
Francesca Rossi,Basketball,Basketball Women's Basketball,ITA,1992,No medal,12
Francesca Salvalajo,Swimming,Swimming Women's 200 metres Backstroke,ITA,1992,No medal,1
Francesco Amici,Shooting,Shooting Mixed Trap,SMR,1992,No medal,1
Francesco Antonioli,Football,Football Men's Football,ITA,1992,No medal,16
Francesco Attolico,Water Polo,Water Polo Men's Water Polo,ITA,1992,Gold,12
Francesco Bennici,Athletics,"Athletics Men's 10,000 metres",ITA,1992,No medal,1
Francesco Girardi,Equestrian,"Equestrian Mixed Three-Day Event, Individual",ITA,1992,No medal,3
Francesco Girardi,Equestrian,"Equestrian Mixed Three-Day Event, Team",ITA,1992,No medal,3
Francesco Petruzzelli,Baseball,Baseball Men's Baseball,ITA,1992,No medal,1
Francesco Porzio,Water Polo,Water Polo Men's Water Polo,ITA,1992,Gold,12
Francesco Postiglione,Swimming,Swimming Men's 200 metres Breaststroke,ITA,1992,No medal,1
Francis (-lutz-),Athletics,Athletics Women's Marathon,USA,1992,No medal,1
Francis Agyepong,Athletics,Athletics Men's Triple Jump,GBR,1992,No medal,1
Francis Allen,Shooting,"Shooting Men's Running Target, 10 metres",USA,1992,No medal,1
Francis Dodoo,Athletics,Athletics Men's Triple Jump,GHA,1992,No medal,1
Francis Dove-edwin,Athletics,Athletics Men's 200 metres,SLE,1992,No medal,1
Francis Keita,Athletics,Athletics Men's 4 x 100 metres Relay,SLE,1992,No medal,4
Francis Munthali,Athletics,Athletics Men's 800 metres,MAW,1992,No medal,1
Francis Ogola,Athletics,Athletics Men's 200 metres,UGA,1992,No medal,1
Francis Ogola,Athletics,Athletics Men's 400 metres,UGA,1992,No medal,1
Francis Tournefier,Weightlifting,Weightlifting Men's Heavyweight I,FRA,1992,No medal,1
Francisc Vatag,Boxing,Boxing Men's Welterweight,ROU,1992,No medal,1
Francisco Aparicio,Judo,Judo Men's Half-Lightweight,ESP,1992,No medal,1
Francisco Arnandis,Cycling,"Cycling Men's Road Race, Individual",ESP,1992,No medal,1
Francisco Arribas,Shooting,Shooting Mixed Skeet,GUA,1992,No medal,1
Francisco Atencia,Football,Football Men's Football,ESP,1992,Gold,17
Francisco Barea,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",ESP,1992,No medal,1
Francisco Cancio,Shooting,"Shooting Men's Air Pistol, 10 metres",ESP,1992,No medal,1
Francisco Cancio,Shooting,"Shooting Men's Free Pistol, 50 metres",ESP,1992,No medal,1
Francisco Dibos,Shooting,Shooting Mixed Trap,PER,1992,No medal,1
Francisco Fernandes,Athletics,Athletics Men's Pole Vault,POR,1992,No medal,1
Francisco Garca,Tennis,Tennis Men's Doubles,MEX,1992,No medal,2
Francisco Garca,Tennis,Tennis Men's Singles,MEX,1992,No medal,1
Francisco Gmez,Football,Football Men's Football,COL,1992,No medal,19
Francisco Herrero,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",ESP,1992,No medal,4
Francisco Jover,Volleyball,Volleyball Men's Volleyball,ESP,1992,No medal,12
Francisco Lozano,Baseball,Baseball Men's Baseball,ESP,1992,No medal,1
Francisco Luna,Sailing,Sailing Men's Two Person Dinghy,ESP,1992,Gold,1
Francisco Martn J.,Athletics,Athletics Men's Decathlon,ESP,1992,No medal,1
Francisco Mello,Sailing,Sailing Mixed Two Person Keelboat,POR,1992,No medal,1
Francisco Mochn,Football,Football Men's Football,ESP,1992,Gold,17
Francisco Moniz,Boxing,Boxing Men's Welterweight,ANG,1992,No medal,1
Francisco Moreno,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",ESP,1992,No medal,1
Francisco Papaiano,Fencing,"Fencing Men's epee, Individual",BRA,1992,No medal,1
Francisco Rodrguez,Wrestling,"Wrestling Men's Lightweight, Freestyle",ESP,1992,No medal,1
Francisco Roln,Football,Football Men's Football,PAR,1992,No medal,17
Francisco Romero,Football,Football Men's Football,PAR,1992,No medal,17
Francisco Serna,Wrestling,"Wrestling Men's Middleweight, Freestyle",ESP,1992,No medal,1
Francisco Souza,Judo,Judo Men's Extra-Lightweight,ANG,1992,No medal,1
Francisco Tirada,Volleyball,Volleyball Men's Volleyball,ESP,1992,No medal,12
Francisco Vivas,Judo,Judo Men's Half-Lightweight,ARG,1992,No medal,1
Francisco Zavala,Football,Football Men's Football,MEX,1992,No medal,16
Franck Adisson,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",FRA,1992,Bronze,2
Franck Badiou,Shooting,"Shooting Men's Air Rifle, 10 metres",FRA,1992,Silver,1
Franck David,Sailing,Sailing Men's Windsurfer,FRA,1992,Gold,1
Franck Ducheix,Fencing,"Fencing Men's Sabre, Individual",FRA,1992,No medal,1
Franck Ducheix,Fencing,"Fencing Men's Sabre, Team",FRA,1992,Bronze,5
Franck Dumoulin,Shooting,"Shooting Men's Air Pistol, 10 metres",FRA,1992,No medal,1
Franck Dumoulin,Shooting,"Shooting Men's Free Pistol, 50 metres",FRA,1992,No medal,1
Franck Esposito,Swimming,Swimming Men's 100 metres Butterfly,FRA,1992,No medal,1
Franck Esposito,Swimming,Swimming Men's 200 metres Butterfly,FRA,1992,Bronze,1
Franck Esposito,Swimming,Swimming Men's 4 x 100 metres Medley Relay,FRA,1992,No medal,6
Franck Horter,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,FRA,1992,No medal,4
Franck Lestage,Athletics,Athletics Men's Long Jump,FRA,1992,No medal,1
Franck Schott,Swimming,Swimming Men's 100 metres Backstroke,FRA,1992,No medal,1
Franck Schott,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,FRA,1992,No medal,6
Franck Schott,Swimming,Swimming Men's 4 x 100 metres Medley Relay,FRA,1992,No medal,6
Franck Waota,Athletics,Athletics Men's 4 x 100 metres Relay,CIV,1992,No medal,4
Franck Zio,Athletics,Athletics Men's Long Jump,BUR,1992,No medal,1
Franco Lizzio,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",ITA,1992,No medal,1
Franjo Arapovi,Basketball,Basketball Men's Basketball,CRO,1992,Silver,12
Frank (-janscho),Weightlifting,Weightlifting Men's Heavyweight II,GER,1992,No medal,1
Frank Amankwah,Football,Football Men's Football,GHA,1992,Bronze,20
Frank Flores,Swimming,Swimming Men's 200 metres Freestyle,GUM,1992,No medal,1
Frank Flores,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,GUM,1992,No medal,4
Frank Fredericks,Athletics,Athletics Men's 100 metres,NAM,1992,Silver,1
Frank Fredericks,Athletics,Athletics Men's 200 metres,NAM,1992,Silver,1
Frank Garca,Judo,Judo Men's Heavyweight,CUB,1992,No medal,1
Frank Hemmer,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",GER,1992,No medal,2
Frank Leistra,Hockey,Hockey Men's Hockey,NED,1992,No medal,16
Frank Leskaj,Swimming,Swimming Men's 100 metres Breaststroke,ALB,1992,No medal,1
Frank Leskaj,Swimming,Swimming Men's 100 metres Freestyle,ALB,1992,No medal,1
Frank Leskaj,Swimming,Swimming Men's 50 metres Freestyle,ALB,1992,No medal,1
Frank Marzoch,Archery,Archery Men's Individual,GER,1992,No medal,1
Frank Marzoch,Archery,Archery Men's Team,GER,1992,No medal,3
Frank Mclaughlin,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,CAN,1992,No medal,1
Frank Mller,Athletics,Athletics Men's Decathlon,GER,1992,No medal,1
Frank O'mara,Athletics,"Athletics Men's 5,000 metres",IRL,1992,No medal,1
Frank Otto,Water Polo,Water Polo Men's Water Polo,GER,1992,No medal,12
Frank Parlow,Sailing,Sailing Mixed Multihull,GER,1992,No medal,1
Frank Richter,Rowing,Rowing Men's Coxed Eights,GER,1992,Bronze,9
Frank Rutherford,Athletics,Athletics Men's Triple Jump,BAH,1992,Bronze,1
Frank Tth,Water Polo,Water Polo Men's Water Polo,HUN,1992,No medal,13
Frank-Michael Wahl,Handball,Handball Men's Handball,GER,1992,No medal,16
Franka Dietzsch,Athletics,Athletics Women's Discus Throw,GER,1992,No medal,1
Franke Sloothaak,Equestrian,"Equestrian Mixed Jumping, Individual",GER,1992,No medal,1
Franke Sloothaak,Equestrian,"Equestrian Mixed Jumping, Team",GER,1992,No medal,4
Franois Besson,Water Polo,Water Polo Men's Water Polo,FRA,1992,No medal,13
Franoise (-laurent),Canoeing,"Canoeing Women's Kayak Fours, 500 metres",FRA,1992,No medal,4
Frans Gbel,Rowing,Rowing Men's Single Sculls,NED,1992,No medal,1
Frans Peeters,Shooting,Shooting Mixed Trap,BEL,1992,No medal,1
Frantiek Trkal,Cycling,Cycling Men's 100 kilometres Team Time Trial,TCH,1992,No medal,4
Frantiek Trkal,Cycling,"Cycling Men's Road Race, Individual",TCH,1992,No medal,1
Franz Marx,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",AUT,1992,No medal,1
Franz Mortensen,Swimming,Swimming Men's 100 metres Freestyle,DEN,1992,No medal,1
Franz Mortensen,Swimming,Swimming Men's 200 metres Freestyle,DEN,1992,No medal,1
Franz Mortensen,Swimming,Swimming Men's 50 metres Freestyle,DEN,1992,No medal,1
Franz Ratzenberger,Athletics,Athletics Men's 4 x 100 metres Relay,AUT,1992,No medal,4
Franz Stocher,Cycling,Cycling Men's Points Race,AUT,1992,No medal,1
Franziska (-sanner),Hockey,Hockey Women's Hockey,GER,1992,Silver,16
Franziska Almsick,Swimming,Swimming Women's 100 metres Butterfly,GER,1992,No medal,1
Franziska Almsick,Swimming,Swimming Women's 100 metres Freestyle,GER,1992,Bronze,1
Franziska Almsick,Swimming,Swimming Women's 200 metres Freestyle,GER,1992,Silver,1
Franziska Almsick,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,GER,1992,Bronze,6
Franziska Almsick,Swimming,Swimming Women's 4 x 100 metres Medley Relay,GER,1992,Silver,7
Franziska Almsick,Swimming,Swimming Women's 50 metres Freestyle,GER,1992,No medal,1
Franziska Rochat-moser,Athletics,Athletics Women's Marathon,SUI,1992,No medal,1
Frauke-Imke Eickhoff,Judo,Judo Women's Half-Middleweight,GER,1992,No medal,1
Frdric Cornette,Athletics,Athletics Men's 800 metres,FRA,1992,No medal,1
Frdric Kuhn,Athletics,Athletics Men's Hammer Throw,FRA,1992,No medal,1
Frdric Lancien,Cycling,"Cycling Men's 1,000 metres Time Trial",FRA,1992,No medal,1
Frdric Lefvre,Swimming,Swimming Men's 200 metres Individual Medley,FRA,1992,No medal,1
Frdric Lefvre,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,FRA,1992,No medal,6
Frdric Magn,Cycling,Cycling Men's Sprint,FRA,1992,No medal,1
Frdric Perez,Handball,Handball Men's Handball,FRA,1992,Bronze,16
Frdric Pierre,Diving,Diving Men's Platform,FRA,1992,No medal,1
Frdric Volle,Handball,Handball Men's Handball,FRA,1992,Bronze,16
Frdrik Deburghgraeve,Swimming,Swimming Men's 100 metres Breaststroke,BEL,1992,No medal,1
Frdrik Deburghgraeve,Swimming,Swimming Men's 200 metres Breaststroke,BEL,1992,No medal,1
Frdrik Deburghgraeve,Swimming,Swimming Men's 4 x 100 metres Medley Relay,BEL,1992,No medal,4
Frdrique Heligon,Rowing,Rowing Women's Coxless Fours,FRA,1992,No medal,4
Freddy Bong,Volleyball,Volleyball Men's Volleyball,CUB,1992,No medal,12
Frederick Lewis,Athletics,Athletics Men's 4 x 100 metres Relay,USA,1992,Gold,5
Frederick Lewis,Athletics,Athletics Men's Long Jump,USA,1992,Gold,1
Frederick Spaulding,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",USA,1992,No medal,1
Frederick Spaulding,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",USA,1992,No medal,1
Frederick Williams,Athletics,Athletics Men's 4 x 400 metres Relay,CAN,1992,No medal,4
Frederick Williams,Athletics,Athletics Men's 800 metres,CAN,1992,No medal,1
Frederik Fetterlein,Tennis,Tennis Men's Doubles,DEN,1992,No medal,2
Frederik Sins,Canoeing,"Canoeing Men's Kayak Singles, Slalom",NED,1992,No medal,1
Fredrick Muteweta,Boxing,Boxing Men's Bantamweight,UGA,1992,No medal,1
Fredrik Letzler,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,SWE,1992,No medal,5
Fredrik Lf,Sailing,Sailing Men's One Person Dinghy,SWE,1992,No medal,1
Freyr Sigmundsson,Judo,Judo Men's Half-Middleweight,ISL,1992,No medal,1
Friedrich Gruber,Sailing,Sailing Mixed Two Person Keelboat,AUT,1992,No medal,1
Frouke Beek,Synchronized Swimming,Synchronized Swimming Women's Solo,NED,1992,No medal,1
Fu Mingxia,Diving,Diving Women's Platform,CHN,1992,Gold,1
Fu Shengjun,Archery,Archery Men's Individual,CHN,1992,No medal,1
Fu Shengjun,Archery,Archery Men's Team,CHN,1992,No medal,3
Fuat Yildiz,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",GER,1992,No medal,1
Fulvio Valle,Baseball,Baseball Men's Baseball,ITA,1992,No medal,1
Fumihiko Machida,Badminton,Badminton Men's Doubles,JPN,1992,No medal,2
Fumihiko Machida,Badminton,Badminton Men's Singles,JPN,1992,No medal,1
Fumihisa Semizuki,Shooting,"Shooting Men's Air Pistol, 10 metres",JPN,1992,No medal,1
Fumihisa Semizuki,Shooting,"Shooting Men's Free Pistol, 50 metres",JPN,1992,No medal,1
Fumiko Okuno,Synchronized Swimming,Synchronized Swimming Women's Duet,JPN,1992,Bronze,2
Fumiko Okuno,Synchronized Swimming,Synchronized Swimming Women's Solo,JPN,1992,Bronze,1
Fumio Imamura,Athletics,Athletics Men's 50 kilometres Walk,JPN,1992,No medal,1
Fumiyo Yamashita-kaizu,Table Tennis,Table Tennis Women's Doubles,JPN,1992,No medal,2
Fumiyo Yamashita-kaizu,Table Tennis,Table Tennis Women's Singles,JPN,1992,No medal,1
Fung Yik,Archery,Archery Men's Individual,HKG,1992,No medal,1
Furas Hashim,Boxing,Boxing Men's Light-Middleweight,IRQ,1992,No medal,1
Gabriel Camps,Baseball,Baseball Men's Baseball,ESP,1992,No medal,1
Gabriel Chereche,Diving,Diving Men's Platform,ROU,1992,No medal,1
Gabriel Ferragut,Cycling,Cycling Men's Points Race,ESP,1992,No medal,1
Gabriel Ferragut,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",ESP,1992,No medal,4
Gabriel Francini,Tennis,Tennis Men's Doubles,SMR,1992,No medal,2
Gabriel Garca,Basketball,Basketball Men's Basketball,VEN,1992,No medal,10
Gabriel Nova,Football,Football Men's Football,ESP,1992,Gold,17
Gabriel Pantelimon,Fencing,"Fencing Men's epee, Individual",ROU,1992,No medal,1
Gabriel Pantelimon,Fencing,"Fencing Men's epee, Team",ROU,1992,No medal,5
Gabriel Ramrez,Hockey,Hockey Men's Hockey,ARG,1992,No medal,16
Gabriel Simeon,Athletics,Athletics Men's 100 metres,GRN,1992,No medal,1
Gabriel Simeon,Athletics,Athletics Men's 200 metres,GRN,1992,No medal,1
Gabriel Toacsen,Handball,Handball Men's Handball,ROU,1992,No medal,15
Gabriela Cover,Swimming,Swimming Women's 100 metres Butterfly,MEX,1992,No medal,1
Gabriela Cover,Swimming,Swimming Women's 4 x 100 metres Medley Relay,MEX,1992,No medal,4
Gabriele (lippe-),Athletics,Athletics Women's 100 metres Hurdles,GER,1992,No medal,1
Gabriele Bhlmann,Shooting,"Shooting Women's Air Rifle, 10 metres",SUI,1992,No medal,1
Gabriele Bhlmann,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",SUI,1992,No medal,2
Gabriele Mehl,Rowing,Rowing Women's Coxless Fours,GER,1992,Bronze,4
Gabriele Palme,Handball,Handball Women's Handball,GER,1992,No medal,16
Gabriele Qoro,Athletics,Athletics Men's 100 metres,FIJ,1992,No medal,1
Gabriele Qoro,Athletics,Athletics Men's Long Jump,FIJ,1992,No medal,1
Gabriele Sala,Gymnastics,Gymnastics Men's Floor Exercise,ITA,1992,No medal,1
Gabriele Sala,Gymnastics,Gymnastics Men's Horizontal Bar,ITA,1992,No medal,1
Gabriele Sala,Gymnastics,Gymnastics Men's Horse Vault,ITA,1992,No medal,1
Gabriele Sala,Gymnastics,Gymnastics Men's Individual All-Around,ITA,1992,No medal,1
Gabriele Sala,Gymnastics,Gymnastics Men's Parallel Bars,ITA,1992,No medal,1
Gabriele Sala,Gymnastics,Gymnastics Men's Pommelled Horse,ITA,1992,No medal,1
Gabriele Sala,Gymnastics,Gymnastics Men's Rings,ITA,1992,No medal,1
Gabriele Sala,Gymnastics,Gymnastics Men's Team All-Around,ITA,1992,No medal,6
Gabriele Weller,Gymnastics,Gymnastics Women's Balance Beam,GER,1992,No medal,1
Gabriele Weller,Gymnastics,Gymnastics Women's Floor Exercise,GER,1992,No medal,1
Gabriele Weller,Gymnastics,Gymnastics Women's Horse Vault,GER,1992,No medal,1
Gabriele Weller,Gymnastics,Gymnastics Women's Individual All-Around,GER,1992,No medal,1
Gabriele Weller,Gymnastics,Gymnastics Women's Team All-Around,GER,1992,No medal,6
Gabriele Weller,Gymnastics,Gymnastics Women's Uneven Bars,GER,1992,No medal,1
Gabriella -debnr),Fencing,"Fencing Women's Foil, Team",HUN,1992,No medal,5
Gabriella Cspe,Swimming,Swimming Women's 100 metres Breaststroke,HUN,1992,No medal,1
Gabriella Cspe,Swimming,Swimming Women's 200 metres Breaststroke,HUN,1992,No medal,1
Gabriella Pregnolato,Cycling,"Cycling Women's Individual Pursuit, 3,000 metres",ITA,1992,No medal,1
Gabrielle Blythe,Athletics,Athletics Women's 10 kilometres Walk,AUS,1992,No medal,1
Gaiet Pamies,Athletics,Athletics Men's 4 x 400 metres Relay,ESP,1992,No medal,4
Gaiet Pamies,Athletics,Athletics Men's 400 metres,ESP,1992,No medal,1
Gail (-millar),Athletics,Athletics Women's 400 metres Hurdles,AUS,1992,No medal,1
Gail Prescod,Athletics,Athletics Women's 100 metres,VIN,1992,No medal,1
Gaily Dube,Athletics,Athletics Women's 100 metres,ZIM,1992,No medal,1
Gaily Dube,Athletics,Athletics Women's 200 metres,ZIM,1992,No medal,1
Gal Monthurel,Handball,Handball Men's Handball,FRA,1992,Bronze,16
Galin Georgiev,Athletics,Athletics Men's Long Jump,BUL,1992,No medal,1
Galin Georgiev,Athletics,Athletics Men's Triple Jump,BUL,1992,No medal,1
Galin Nikov,Athletics,Athletics Men's Pole Vault,BUL,1992,No medal,1
Galina (mikheyeva-),Athletics,Athletics Women's 200 metres,EUN,1992,No medal,1
