Rank,NOC,Gold,Silver,Bronze,Total,Year
12,Hungary,7,4,10,21,1996
13,Spain,5,6,6,17,1996
14,Romania,4,7,9,20,1996
15,Netherlands,4,5,10,19,1996
16,Greece,4,4,0,8,1996
17,Czech Republic,4,3,4,11,1996
18,Switzerland,4,3,0,7,1996
19,Denmark,4,1,1,6,1996
19,Turkey,4,1,1,6,1996
21,Canada,3,11,8,22,1996
22,Bulgaria,3,7,5,15,1996
23,Japan,3,6,5,14,1996
24,Kazakhstan,3,4,4,11,1996
25,Brazil,3,3,9,15,1996
26,New Zealand,3,2,1,6,1996
27,South Africa,3,1,1,5,1996
28,Ireland,3,0,1,4,1996
29,Sweden,2,4,2,8,1996
30,Norway,2,2,3,7,1996
31,Belgium,2,2,2,6,1996
32,Nigeria,2,1,3,6,1996
33,North Korea,2,1,2,5,1996
34,Algeria,2,0,1,3,1996
34,Ethiopia,2,0,1,3,1996
36,Great Britain,1,8,6,15,1996
37,Belarus,1,6,8,15,1996
38,Kenya,1,4,3,8,1996
39,Jamaica,1,3,2,6,1996
40,Finland,1,2,1,4,1996
41,FR Yugoslavia,1,1,2,4,1996
41,Indonesia,1,1,2,4,1996
43,Iran,1,1,1,3,1996
43,Slovakia,1,1,1,3,1996
45,Armenia,1,1,0,2,1996
45,Croatia,1,1,0,2,1996
47,Portugal,1,0,1,2,1996
47,Thailand,1,0,1,2,1996
49,Burundi,1,0,0,1,1996
49,Costa Rica,1,0,0,1,1996
49,Ecuador,1,0,0,1,1996
49,Hong Kong,1,0,0,1,1996
49,Syria,1,0,0,1,1996
54,Argentina,0,2,1,3,1996
55,Namibia,0,2,0,2,1996
55,Slovenia,0,2,0,2,1996
57,Austria,0,1,2,3,1996
58,Malaysia,0,1,1,2,1996
58,Moldova,0,1,1,2,1996
58,Uzbekistan,0,1,1,2,1996
61,Azerbaijan,0,1,0,1,1996
61,Bahamas,0,1,0,1,1996
61,Chinese Taipei,0,1,0,1,1996
61,Latvia,0,1,0,1,1996
61,Philippines,0,1,0,1,1996
61,Tonga,0,1,0,1,1996
61,Zambia,0,1,0,1,1996
68,Georgia,0,0,2,2,1996
68,Morocco,0,0,2,2,1996
68,Trinidad and Tobago,0,0,2,2,1996
71,India,0,0,1,1,1996
71,Israel,0,0,1,1,1996
71,Lithuania,0,0,1,1,1996
71,Mexico,0,0,1,1,1996
71,Mongolia,0,0,1,1,1996
71,Mozambique,0,0,1,1,1996
71,Puerto Rico,0,0,1,1,1996
71,Tunisia,0,0,1,1,1996
71,Uganda,0,0,1,1,1996
1,United States,37,24,32,93,2000
2,Russia,32,28,29,89,2000
3,China,28,16,14,58,2000
4,Australia,16,25,17,58,2000
5,Germany,13,17,26,56,2000
6,France,13,14,11,38,2000
7,Italy,13,8,13,34,2000
8,Netherlands,12,9,4,25,2000
9,Cuba,11,11,7,29,2000
10,Great Britain,11,10,7,28,2000
11,Romania,11,6,9,26,2000
12,South Korea,8,10,10,28,2000
13,Hungary,8,6,3,17,2000
14,Poland,6,5,3,14,2000
15,Japan,5,8,5,18,2000
16,Bulgaria,5,6,2,13,2000
17,Greece,4,6,3,13,2000
18,Sweden,4,5,3,12,2000
19,Norway,4,3,3,10,2000
20,Ethiopia,4,1,3,8,2000
21,Ukraine,3,10,10,23,2000
22,Kazakhstan,3,4,0,7,2000
23,Belarus,3,3,11,17,2000
24,Canada,3,3,8,14,2000
25,Spain,3,3,5,11,2000
26,Turkey,3,0,2,5,2000
27,Iran,3,0,1,4,2000
28,Czech Republic,2,3,3,8,2000
29,Kenya,2,3,2,7,2000
30,Denmark,2,3,1,6,2000
31,Finland,2,1,1,4,2000
32,Austria,2,1,0,3,2000
33,Lithuania,2,0,3,5,2000
34,Azerbaijan,2,0,1,3,2000
34,Bahamas,2,0,1,3,2000
36,Slovenia,2,0,0,2,2000
37,Switzerland,1,6,2,9,2000
38,Indonesia,1,3,2,6,2000
39,Slovakia,1,3,1,5,2000
40,Mexico,1,2,3,6,2000
41,Nigeria,1,2,0,3,2000
42,Algeria,1,1,3,5,2000
43,Uzbekistan,1,1,2,4,2000
44,FR Yugoslavia,1,1,1,3,2000
44,Latvia,1,1,1,3,2000
46,New Zealand,1,0,3,4,2000
47,Estonia,1,0,2,3,2000
47,Thailand,1,0,2,3,2000
49,Croatia,1,0,1,2,2000
50,Cameroon,1,0,0,1,2000
50,Colombia,1,0,0,1,2000
50,Mozambique,1,0,0,1,2000
53,Brazil,0,6,6,12,2000
54,Jamaica,0,6,3,9,2000
55,Belgium,0,2,3,5,2000
55,South Africa,0,2,3,5,2000
57,Argentina,0,2,2,4,2000
58,Chinese Taipei,0,1,4,5,2000
58,Morocco,0,1,4,5,2000
60,North Korea,0,1,3,4,2000
61,Moldova,0,1,1,2,2000
61,Saudi Arabia,0,1,1,2,2000
61,Trinidad and Tobago,0,1,1,2,2000
64,Ireland,0,1,0,1,2000
64,Sri Lanka,0,1,0,1,2000
64,Uruguay,0,1,0,1,2000
64,Vietnam,0,1,0,1,2000
68,Georgia,0,0,6,6,2000
69,Costa Rica,0,0,2,2,2000
69,Portugal,0,0,2,2,2000
71,Armenia,0,0,1,1,2000
71,Barbados,0,0,1,1,2000
71,Chile,0,0,1,1,2000
71,Iceland,0,0,1,1,2000
71,India,0,0,1,1,2000
71,Israel,0,0,1,1,2000
71,Kuwait,0,0,1,1,2000
71,Kyrgyzstan,0,0,1,1,2000
71,Macedonia,0,0,1,1,2000
71,Qatar,0,0,1,1,2000
1,United States,36,39,26,101,2004
2,China,32,17,14,63,2004
3,Russia,28,26,36,90,2004
4,Australia,17,16,17,50,2004
5,Japan,16,9,12,37,2004
6,Germany,13,16,20,49,2004
7,France,11,9,13,33,2004
8,Italy,10,11,11,32,2004
9,South Korea,9,12,9,30,2004
10,Great Britain,9,9,12,30,2004
11,Cuba,9,7,11,27,2004
12,Hungary,8,6,3,17,2004
13,Ukraine,8,5,9,22,2004
14,Romania,8,5,6,19,2004
15,Greece,6,6,4,16,2004
16,Brazil,5,2,3,10,2004
17,Norway,5,0,1,6,2004
18,Netherlands,4,9,9,22,2004
19,Sweden,4,2,1,7,2004
20,Spain,3,11,6,20,2004
21,Canada,3,6,3,12,2004
22,Turkey,3,3,4,10,2004
23,Poland,3,2,5,10,2004
24,New Zealand,3,2,0,5,2004
25,Thailand,3,1,4,8,2004
26,Belarus,2,5,6,13,2004
27,Austria,2,4,1,7,2004
28,Ethiopia,2,3,2,7,2004
29,Iran,2,2,2,6,2004
29,Slovakia,2,2,2,6,2004
31,Chinese Taipei,2,2,1,5,2004
32,Georgia,2,2,0,4,2004
33,Bulgaria,2,1,9,12,2004
34,Denmark,2,1,5,8,2004
35,Jamaica,2,1,2,5,2004
35,Uzbekistan,2,1,2,5,2004
37,Morocco,2,1,0,3,2004
38,Argentina,2,0,4,6,2004
39,Chile,2,0,1,3,2004
40,Kazakhstan,1,4,3,8,2004
41,Kenya,1,4,2,7,2004
42,Czech Republic,1,3,5,9,2004
43,South Africa,1,3,2,6,2004
44,Croatia,1,2,2,5,2004
45,Lithuania,1,2,0,3,2004
46,Egypt,1,1,3,5,2004
46,Switzerland,1,1,3,5,2004
48,Indonesia,1,1,2,4,2004
49,Zimbabwe,1,1,1,3,2004
50,Azerbaijan,1,0,4,5,2004
51,Belgium,1,0,2,3,2004
52,Bahamas,1,0,1,2,2004
52,Israel,1,0,1,2,2004
54,Cameroon,1,0,0,1,2004
54,Dominican Republic,1,0,0,1,2004
54,United Arab Emirates,1,0,0,1,2004
57,North Korea,0,4,1,5,2004
58,Latvia,0,4,0,4,2004
59,Mexico,0,3,1,4,2004
60,Portugal,0,2,1,3,2004
61,Finland,0,2,0,2,2004
61,Serbia and Montenegro,0,2,0,2,2004
63,Slovenia,0,1,3,4,2004
64,Estonia,0,1,2,3,2004
65,Hong Kong,0,1,0,1,2004
65,India,0,1,0,1,2004
65,Paraguay,0,1,0,1,2004
68,Colombia,0,0,2,2,2004
68,Nigeria,0,0,2,2,2004
68,Venezuela,0,0,2,2,2004
71,Eritrea,0,0,1,1,2004
71,Mongolia,0,0,1,1,2004
71,Syria,0,0,1,1,2004
71,Trinidad and Tobago,0,0,1,1,2004
1,China,48,22,30,100,2008
2,United States,36,39,37,112,2008
3,Russia,24,13,23,60,2008
4,Great Britain,19,13,19,51,2008
5,Germany,16,11,14,41,2008
6,Australia,14,15,17,46,2008
7,South Korea,13,11,8,32,2008
8,Japan,9,8,8,25,2008
9,Italy,8,9,10,27,2008
10,France,7,16,20,43,2008
11,Netherlands,7,5,4,16,2008
12,Ukraine,7,4,11,22,2008
13,Kenya,6,4,6,16,2008
14,Spain,5,11,3,19,2008
15,Jamaica,5,4,2,11,2008
16,Poland,4,5,2,11,2008
17,Ethiopia,4,2,1,7,2008
18,Romania,4,1,4,9,2008
19,Cuba,3,10,17,30,2008
20,Canada,3,9,8,20,2008
21,Hungary,3,5,2,10,2008
22,Norway,3,5,1,9,2008
23,Brazil,3,4,10,17,2008
24,Belarus,3,4,7,14,2008
25,Czech Republic,3,3,1,7,2008
26,Slovakia,3,3,0,6,2008
27,New Zealand,3,2,4,9,2008
28,Georgia,3,2,2,7,2008
29,Kazakhstan,2,3,4,9,2008
30,Denmark,2,2,3,7,2008
31,North Korea,2,2,2,6,2008
31,Thailand,2,2,2,6,2008
33,Mongolia,2,2,0,4,2008
34,Switzerland,2,1,4,7,2008
35,Argentina,2,0,4,6,2008
36,Mexico,2,0,2,4,2008
37,Belgium,2,0,0,2,2008
38,Zimbabwe,1,3,0,4,2008
39,Slovenia,1,2,2,5,2008
40,Azerbaijan,1,1,4,6,2008
40,Indonesia,1,1,4,6,2008
42,Bulgaria,1,1,3,5,2008
42,Turkey,1,1,3,5,2008
44,Chinese Taipei,1,1,2,4,2008
44,Finland,1,1,2,4,2008
46,Latvia,1,1,1,3,2008
47,Dominican Republic,1,1,0,2,2008
47,Estonia,1,1,0,2,2008
47,Portugal,1,1,0,2,2008
47,Trinidad and Tobago,1,1,0,2,2008
51,India,1,0,2,3,2008
52,Iran,1,0,1,2,2008
53,Cameroon,1,0,0,1,2008
53,Panama,1,0,0,1,2008
53,Tunisia,1,0,0,1,2008
56,Sweden,0,4,1,5,2008
57,Lithuania,0,3,2,5,2008
57,Nigeria,0,3,2,5,2008
59,Croatia,0,2,3,5,2008
60,Colombia,0,2,1,3,2008
60,Greece,0,2,1,3,2008
62,Armenia,0,1,4,5,2008
63,Uzbekistan,0,1,3,4,2008
64,Austria,0,1,2,3,2008
64,Ireland,0,1,2,3,2008
64,Kyrgyzstan,0,1,2,3,2008
64,Serbia,0,1,2,3,2008
68,Algeria,0,1,1,2,2008
68,Bahamas,0,1,1,2,2008
68,Morocco,0,1,1,2,2008
68,Tajikistan,0,1,1,2,2008
72,Chile,0,1,0,1,2008
72,Ecuador,0,1,0,1,2008
72,Iceland,0,1,0,1,2008
72,Malaysia,0,1,0,1,2008
72,Samoa,0,1,0,1,2008
72,Singapore,0,1,0,1,2008
72,South Africa,0,1,0,1,2008
72,Sudan,0,1,0,1,2008
72,Vietnam,0,1,0,1,2008
81,Egypt,0,0,2,2,2008
82,Afghanistan,0,0,1,1,2008
82,Israel,0,0,1,1,2008
82,Mauritius,0,0,1,1,2008
82,Moldova,0,0,1,1,2008
82,Togo,0,0,1,1,2008
82,Venezuela,0,0,1,1,2008
